container_id,container_type,origin_port,origin_country,destination_port,destination_country,transit_days,shipment_status,quantity,category_lvl1,total_cargo_value_usd
CONT401830,40FT High Cube,Xiamen,China,Los Angeles,USA,23,Customs Clearance,605,Unknown,60772.25
CONT843461,40FT High Cube,Xiamen,China,Los Angeles,USA,23,Customs Clearance,417,Unknown,8456.76
CONT787179,40FT High Cube,Xiamen,China,Los Angeles,USA,23,Customs Clearance,888,Home & Garden,102581.76
CONT323112,40FT High Cube,Xiamen,China,Los Angeles,USA,23,Customs Clearance,60,Vehicles & Parts,4073.40
CONT645729,40FT High Cube,Xiamen,China,Los Angeles,USA,23,Customs Clearance,543,Unknown,72762
CONT493497,40FT High Cube,Xiamen,China,Los Angeles,USA,23,Customs Clearance,962,Unknown,90331.8
CONT494786,40FT High Cube,Xiamen,China,Los Angeles,USA,23,Customs Clearance,606,Unknown,40765.62
CONT605553,40FT Standard,Xiamen,China,Savannah,USA,27,In Transit,766,Sporting Goods,71490.78
CONT859851,40FT Standard,Xiamen,China,Savannah,USA,27,In Transit,545,Home & Garden,56919.80
CONT565218,40FT Standard,Xiamen,China,Savannah,USA,27,In Transit,144,Vehicles & Parts,25655.04
CONT393484,40FT Standard,Xiamen,China,Savannah,USA,27,In Transit,391,Home & Garden,58732.11
CONT989822,40FT Standard,Xiamen,China,Savannah,USA,27,In Transit,688,Home & Garden,100007.68
CONT292619,40FT Standard,Xiamen,China,Savannah,USA,27,In Transit,445,Apparel & Accessories,48687.45
CONT129494,40FT Standard,Xiamen,China,Savannah,USA,27,In Transit,484,Hardware,53172.24
CONT720671,40FT Standard,Xiamen,China,Savannah,USA,27,In Transit,459,Vehicles & Parts,60932.25
CONT962175,20FT Standard,Dalian,China,Charleston,USA,27,In Transit,567,Apparel & Accessories,21013.02
CONT229937,20FT Standard,Dalian,China,Charleston,USA,27,In Transit,186,Hardware,5896.2
CONT375084,20FT Standard,Dalian,China,Charleston,USA,27,In Transit,810,Home & Garden,74592.90
CONT287611,20FT Standard,Dalian,China,Charleston,USA,27,In Transit,428,Toys & Games,13443.48
CONT870910,20FT Standard,Dalian,China,Charleston,USA,27,In Transit,818,Health & Beauty,90307.2
CONT987779,40FT Standard,Shenzhen,China,New York,USA,18,In Transit,299,Toys & Games,8198.58
CONT523327,40FT Standard,Shenzhen,China,New York,USA,18,In Transit,428,Home & Garden,57488.96
CONT352892,40FT Standard,Shenzhen,China,New York,USA,18,In Transit,937,Apparel & Accessories,53886.87
CONT812783,40FT Standard,Shenzhen,China,New York,USA,18,In Transit,821,Apparel & Accessories,117427.63
CONT529056,40FT Standard,Shenzhen,China,New York,USA,18,In Transit,827,Apparel & Accessories,123388.4
CONT883940,45FT High Cube,Shenzhen,China,Savannah,USA,27,In Transit,50,Apparel & Accessories,7076.50
CONT534420,45FT High Cube,Shenzhen,China,Savannah,USA,27,In Transit,83,Apparel & Accessories,10387.45
CONT568286,45FT High Cube,Shenzhen,China,Savannah,USA,27,In Transit,778,Unknown,42393.22
CONT662467,45FT High Cube,Shenzhen,China,Savannah,USA,27,In Transit,323,Apparel & Accessories,27739.24
CONT166580,45FT High Cube,Shenzhen,China,Savannah,USA,27,In Transit,625,Unknown,65225.00
CONT825845,45FT High Cube,Shenzhen,China,Savannah,USA,27,In Transit,493,Apparel & Accessories,84046.64
CONT950175,45FT High Cube,Shenzhen,China,Savannah,USA,27,In Transit,321,Business & Industrial,59590.44
CONT299698,45FT High Cube,Shenzhen,China,Savannah,USA,27,In Transit,259,Apparel & Accessories,10784.76
CONT562788,20FT Standard,Guangzhou,China,Charleston,USA,28,Customs Clearance,921,Hardware,65446.26
CONT373767,20FT Standard,Guangzhou,China,Charleston,USA,28,Customs Clearance,826,Apparel & Accessories,26803.70
CONT690134,20FT Standard,Guangzhou,China,Charleston,USA,28,Customs Clearance,128,Apparel & Accessories,866.56
CONT578800,40FT High Cube,Shenzhen,China,Charleston,USA,20,In Transit,490,Apparel & Accessories,7487.20
CONT136797,40FT High Cube,Shenzhen,China,Charleston,USA,20,In Transit,776,Apparel & Accessories,96813.76
CONT961838,40FT High Cube,Shenzhen,China,Charleston,USA,20,In Transit,327,Unknown,13174.83
CONT272796,40FT High Cube,Shenzhen,China,Charleston,USA,20,In Transit,780,Vehicles & Parts,40255.80
CONT805332,40FT High Cube,Shenzhen,China,Charleston,USA,20,In Transit,677,Home & Garden,32712.64
CONT965309,40FT High Cube,Shenzhen,China,Charleston,USA,20,In Transit,552,Apparel & Accessories,89865.6
CONT761847,45FT High Cube,Tianjin,China,New York,USA,29,Delivered,291,Sporting Goods,36264.42
CONT896329,45FT High Cube,Tianjin,China,New York,USA,29,Delivered,454,Unknown,39175.66
CONT317585,45FT High Cube,Tianjin,China,New York,USA,29,Delivered,588,Apparel & Accessories,24566.64
CONT329247,45FT High Cube,Tianjin,China,New York,USA,29,Delivered,91,Toys & Games,8861.58
CONT474956,20FT Reefer,Shanghai,China,New York,USA,25,Ready for Pickup,912,Unknown,112923.84
CONT452219,20FT Reefer,Shanghai,China,New York,USA,25,Ready for Pickup,746,Unknown,122746.84
CONT409987,20FT Reefer,Shanghai,China,New York,USA,25,Ready for Pickup,450,Mature,88906.50
CONT418445,45FT High Cube,Tianjin,China,Seattle,USA,24,Delivered,176,Home & Garden,14879.04
CONT148138,45FT High Cube,Tianjin,China,Seattle,USA,24,Delivered,779,Hardware,89849.86
CONT247706,45FT High Cube,Tianjin,China,Seattle,USA,24,Delivered,585,Hardware,48186.45
CONT160889,45FT High Cube,Tianjin,China,Seattle,USA,24,Delivered,479,Apparel & Accessories,83532.81
CONT216299,45FT High Cube,Tianjin,China,Seattle,USA,24,Delivered,692,Hardware,105806.8
CONT191064,45FT High Cube,Tianjin,China,Seattle,USA,24,Delivered,334,Electronics,38500.18
CONT160431,45FT High Cube,Tianjin,China,Seattle,USA,24,Delivered,975,Unknown,89056.50
CONT109284,20FT Standard,Qingdao,China,Charleston,USA,22,Customs Clearance,301,Apparel & Accessories,46889.78
CONT524899,20FT Standard,Qingdao,China,Charleston,USA,22,Customs Clearance,160,Home & Garden,25260.80
CONT333635,20FT Standard,Qingdao,China,Charleston,USA,22,Customs Clearance,182,Apparel & Accessories,8239.14
CONT453700,20FT Standard,Qingdao,China,Charleston,USA,22,Customs Clearance,107,Electronics,5231.23
CONT443738,20FT Standard,Qingdao,China,Charleston,USA,22,Customs Clearance,849,Unknown,120082.56
CONT727535,20FT Standard,Qingdao,China,Charleston,USA,22,Customs Clearance,378,Electronics,33638.22
CONT551316,20FT Standard,Qingdao,China,Charleston,USA,22,Customs Clearance,856,Apparel & Accessories,24798.32
CONT281757,20FT Standard,Qingdao,China,Charleston,USA,22,Customs Clearance,176,Apparel & Accessories,20218.88
CONT638332,40FT High Cube,Ningbo,China,Los Angeles,USA,23,Arrived at Port,442,Unknown,70644.86
CONT846105,40FT High Cube,Ningbo,China,Los Angeles,USA,23,Arrived at Port,696,Unknown,75251.52
CONT224300,40FT High Cube,Ningbo,China,Los Angeles,USA,23,Arrived at Port,143,Apparel & Accessories,5861.57
CONT510333,40FT Standard,Guangzhou,China,Long Beach,USA,19,Ready for Pickup,833,Unknown,154979.65
CONT110435,40FT Standard,Guangzhou,China,Long Beach,USA,19,Ready for Pickup,956,Health & Beauty,65715.44
CONT203984,40FT Standard,Guangzhou,China,Long Beach,USA,19,Ready for Pickup,381,Unknown,40157.4
CONT176704,40FT Standard,Guangzhou,China,Long Beach,USA,19,Ready for Pickup,712,Apparel & Accessories,105746.24
CONT459700,40FT Standard,Guangzhou,China,Long Beach,USA,19,Ready for Pickup,469,Electronics,54563.46
CONT657893,40FT Standard,Guangzhou,China,Long Beach,USA,19,Ready for Pickup,928,Hardware,63985.60
CONT154492,40FT Standard,Guangzhou,China,Long Beach,USA,19,Ready for Pickup,722,Apparel & Accessories,17161.94
CONT369382,40FT Standard,Guangzhou,China,Long Beach,USA,19,Ready for Pickup,263,Home & Garden,19803.9
CONT684943,40FT High Cube,Tianjin,China,New York,USA,16,Arrived at Port,619,Unknown,12132.4
CONT803449,40FT High Cube,Tianjin,China,New York,USA,16,Arrived at Port,772,Hardware,90015.2
CONT278385,40FT High Cube,Tianjin,China,New York,USA,16,Arrived at Port,244,Home & Garden,14735.16
CONT848226,45FT High Cube,Guangzhou,China,Long Beach,USA,23,In Transit,920,Apparel & Accessories,79460.40
CONT743785,45FT High Cube,Guangzhou,China,Long Beach,USA,23,In Transit,892,Unknown,157429.08
CONT491973,45FT High Cube,Guangzhou,China,Long Beach,USA,23,In Transit,196,Hardware,33521.88
CONT601619,45FT High Cube,Guangzhou,China,Long Beach,USA,23,In Transit,997,Toys & Games,34685.63
CONT724470,45FT High Cube,Guangzhou,China,Savannah,USA,17,Arrived at Port,757,Apparel & Accessories,37448.79
CONT442453,45FT High Cube,Guangzhou,China,Savannah,USA,17,Arrived at Port,509,Apparel & Accessories,53073.43
CONT640452,45FT High Cube,Guangzhou,China,Savannah,USA,17,Arrived at Port,187,Electronics,14202.65
CONT312945,45FT High Cube,Guangzhou,China,Savannah,USA,17,Arrived at Port,921,Home & Garden,71570.91
CONT723757,45FT High Cube,Guangzhou,China,Savannah,USA,17,Arrived at Port,227,Vehicles & Parts,38698.96
CONT298094,45FT High Cube,Guangzhou,China,Savannah,USA,17,Arrived at Port,974,Electronics,121545.46
CONT500722,45FT High Cube,Guangzhou,China,Savannah,USA,17,Arrived at Port,727,Apparel & Accessories,7313.62
CONT595622,20FT Standard,Guangzhou,China,Charleston,USA,19,Delivered,286,Unknown,39668.2
CONT494877,20FT Standard,Guangzhou,China,Charleston,USA,19,Delivered,763,Unknown,92551.9
