warehouse_location,category_lvl1,category_lvl2,category_lvl3,current_stock,available_stock
WH-7-C87,Business & Industrial,Science & Laboratory,Laboratory Supplies,103,101
WH-2-E73,Business & Industrial,Science & Laboratory,Laboratory Supplies,388,386
WH-9-B44,Apparel & Accessories,Clothing,Shirts & Tops,3295,3253
WH-5-C86,Hardware,Hardware Accessories,Tool Storage & Organization,506,504
WH-5-E59,Electronics,Audio,Audio Components,115,114
WH-9-A91,Electronics,Audio,Audio Components,429,428
WH-6-C63,Hardware,Hardware Accessories,Tool Storage & Organization,56,55
WH-4-E60,Hardware,Hardware Accessories,Tool Storage & Organization,327,325
WH-3-E24,Apparel & Accessories,Jewelry,Earrings,173,168
WH-5-E97,Hardware,Plumbing,Plumbing Fixture Hardware & Parts,95,94
WH-9-A50,Toys & Games,Toys,Remote Control Toys,423,385
WH-8-E50,Electronics,Electronics Accessories,Computer Accessories,795,773
WH-9-C88,Unknown,Unknown,Unknown,239,213
WH-4-C15,Hardware,Hardware Accessories,Tool Storage & Organization,467,466
WH-3-C55,Hardware,Tools,Flashlights & Headlamps,278,273
WH-8-A14,Mature,Weapons,Mace & Pepper Spray,366,361
WH-7-B50,Hardware,Hardware Accessories,Tool Storage & Organization,306,279
WH-9-B97,Electronics,Electronics Accessories,Power,439,436
WH-9-C70,Sporting Goods,Outdoor Recreation,Fishing,159,145
WH-7-A74,Apparel & Accessories,Jewelry,Earrings,193,191
WH-7-D87,Hardware,Tools,Flashlights & Headlamps,234,230
WH-1-C26,Apparel & Accessories,Jewelry,Earrings,76,67
WH-4-D18,Electronics,Electronics Accessories,Memory,577,503
WH-9-D43,Unknown,Unknown,Unknown,30,26
WH-7-C71,Luggage & Bags,Luggage Accessories,Luggage Tags,496,488
WH-2-B32,Mature,Weapons,Gun Care & Accessories,422,399
WH-3-E83,Hardware,Tools,Pickup Tools,4,3
WH-4-C45,Unknown,Unknown,Unknown,456,397
WH-8-E35,Home & Garden,Lawn & Garden,Gardening,484,479
WH-1-E56,Hardware,Tools,Flashlights & Headlamps,447,433
WH-7-A51,Hardware,Tools,Tool Sets,196,194
WH-3-D69,Home & Garden,Household Supplies,Storage & Organization,285,283
WH-6-E56,Health & Beauty,Personal Care,Hair Care,327,283
WH-9-A44,Home & Garden,Kitchen & Dining,Cookware & Bakeware,393,377
WH-2-E71,Health & Beauty,Health Care,Fitness & Nutrition,472,472
WH-2-A74,Unknown,Unknown,Unknown,272,268
WH-2-C12,Business & Industrial,Medical,Medical Instruments,107,105
WH-1-C94,Unknown,Unknown,Unknown,343,339
WH-9-C98,Unknown,Unknown,Unknown,137,124
WH-2-C67,Vehicles & Parts,Vehicle Parts & Accessories,"Vehicle Maintenance, Care & Decor",299,293
WH-4-A58,Toys & Games,Toys,Sports Toys,287,262
WH-5-A16,Health & Beauty,Health Care,Fitness & Nutrition,112,110
WH-8-B57,Apparel & Accessories,Clothing Accessories,Hair Accessories,332,325
WH-4-E74,Apparel & Accessories,Jewelry,Earrings,27,26
WH-7-C12,Electronics,Video,Video Accessories,149,132
